STATE,Number_Agencies_2018,Population_covered_2018,Total_Crimes_2018,Crimes_per_pop_2018,Crimes_per_100k_2018,Number_Agencies_2017,Population_Covered_2017,Total_Crimes_2017,Crimes_per_pop_2017,Crimes_per_100k_2017,Number_Agencies_2016,Population_Covered_2016,Total_Crimes_2016,Crimes_per_pop_2016,Crimes_per_100k_2016,Avg_Crimes_Per_Pop,Avg_Crimes_per_100k
Ohio,547,"9,774,082",350,0.00003580898953,3.580898953,572,"9,703,884",380,0.00003915957775,3.915957775,562,"9,573,452",442,0.00004616934414,4.616934414,0.00004037930381,4.037930381
Oklahoma,417,"3,621,189",20,0.000005523047817,0.5523047817,412,"3,916,111",37,0.000009448148942,0.9448148942,355,"3,869,095",33,0.00000852912632,0.852912632,0.000007833441026,0.7833441026
Oregon,222,"4,012,987",118,0.00002940453084,2.940453084,214,"3,902,529",146,0.00003741163743,3.741163743,170,"3,547,910",104,0.00002931303218,2.931303218,0.00003204306682,3.204306682
Pennsylvania,"1,480","12,712,213",67,0.000005270522135,0.5270522135,"1,488","12,730,580",78,0.000006126979289,0.6126979289,"1,463","12,644,372",61,0.000004824280716,0.4824280716,0.000005407260713,0.5407260713
Rhode Island,48,"1,056,281",13,0.0000123073311,1.23073311,49,"1,059,639",11,0.00001038089387,1.038089387,49,"1,056,426",12,0.00001135905402,1.135905402,0.000011349093,1.1349093
South Carolina,439,"4,960,159",111,0.00002237831489,2.237831489,438,"4,996,532",87,0.00001741207702,1.741207702,440,"4,936,962",23,0.000004658735473,0.4658735473,0.00001481637579,1.481637579
South Dakota,130,"806,540",20,0.00002479728222,2.479728222,116,"799,083",17,0.00002127438576,2.127438576,112,"787,337",18,0.0000228618749,2.28618749,0.00002297784763,2.297784763
Tennessee,466,"6,737,273",170,0.00002523276109,2.523276109,466,"6,715,984",136,0.00002025019714,2.025019714,463,"6,651,194",142,0.00002134955017,2.134955017,0.0000222775028,2.22775028
Texas,"1,028","27,845,758",455,0.00001634001129,1.634001129,"1,009","28,096,894",190,0.000006762313301,0.6762313301,"1,097","27,862,596",178,0.000006388493018,0.6388493018,0.000009830272535,0.9830272535
Utah,126,"3,068,388",33,0.00001075483283,1.075483283,126,"3,056,326",78,0.00002552083776,2.552083776,130,"3,014,190",66,0.00002189642989,2.189642989,0.00001939070016,1.939070016
Vermont,89,"630,980",45,0.00007131763289,7.131763289,90,"623,657",34,0.00005451714644,5.451714644,90,"624,594",25,0.00004002600089,4.002600089,0.00005528692674,5.528692674
Virginia,415,"8,510,090",143,0.00001680358257,1.680358257,413,"8,467,744",193,0.0000227923754,2.27923754,419,"8,411,424",122,0.00001450408397,1.450408397,0.00001803334731,1.803334731
Washington,248,"7,479,358",506,0.00006765286539,6.765286539,243,"7,396,166",510,0.00006895464488,6.895464488,253,"7,282,106",387,0.00005314396687,5.314396687,0.00006325049238,6.325049238
West Virginia,251,"1,573,786",43,0.00002732264742,2.732264742,245,"1,591,058",31,0.00001948389059,1.948389059,324,"1,621,366",41,0.00002528731946,2.528731946,0.00002403128583,2.403128583
Wisconsin,436,"5,767,760",52,0.000009015631718,0.9015631718,437,"5,767,235",46,0.00000797609253,0.797609253,414,"5,652,781",34,0.000006014738586,0.6014738586,0.000007668820945,0.7668820945
Wyoming,57,"552,818",0,0,0,57,"553,149",4,0.000007231324652,0.7231324652,55,"556,446",3,0.00000539135873,0.539135873,0.000004207561127,0.4207561127
